Ticker,Name,Weight,Shares,Price
8628 JT Equity,Matsui Securities Co Ltd,0.100809,1,798
7202 JT Equity,Isuzu Motors Ltd,0.097524,0.5,1544
5214 JT Equity,Nippon Electric Glass Co Ltd,0.09717,0.3,2564
6471 JT Equity,NSK Ltd,0.096766,1,766
9147 JT Equity,NIPPON EXPRESS HOLDINGS INC,0.096135,0.1,7610
3402 JT Equity,Toray Industries Inc,0.095465,1,755.7
1803 JT Equity,Shimizu Corp,0.093734,1,742
8331 JT Equity,Chiba Bank Ltd/The,0.093229,1,738
1812 JT Equity,Kajima Corp,0.091081,0.5,1442
3289 JT Equity,Tokyu Fudosan Holdings Corp,0.090576,1,717
8306 JT Equity,Mitsubishi UFJ Financial Group Inc,0.090134,1,713.5
9020 JT Equity,East Japan Railway Co,0.089136,0.1,7056
8233 JT Equity,Takashimaya Co Ltd,0.089123,0.5,1411
4755 JT Equity,Rakuten Group Inc,0.084765,1,671
7205 JT Equity,Hino Motors Ltd,0.083502,1,661
4061 JT Equity,Denka Co Ltd,0.08287,0.2,3280
9001 JT Equity,Tobu Railway Co Ltd,0.082744,0.2,3275
8601 JT Equity,Daiwa Securities Group Inc,0.075442,1,597.2
7762 JT Equity,Citizen Watch Co Ltd,0.075417,1,597
1605 JT Equity,Inpex Corp,0.074987,0.4,1484
4183 JT Equity,Mitsui Chemicals Inc,0.07337,0.2,2904
2501 JT Equity,Sapporo Holdings Ltd,0.072815,0.2,2882
6302 JT Equity,Sumitomo Heavy Industries Ltd,0.072613,0.2,2874
2432 JT Equity,DeNA Co Ltd,0.072309,0.3,1908
1332 JT Equity,Nippon Suisan Kaisha Ltd,0.07188,1,569
5631 JT Equity,Japan Steel Works Ltd/The,0.070642,0.2,2796
4005 JT Equity,Sumitomo Chemical Co Ltd,0.07049,1,558
3861 JT Equity,Oji Holdings Corp,0.067837,1,537
3086 JT Equity,J Front Retailing Co Ltd,0.067585,0.5,1070
7201 JT Equity,Nissan Motor Co Ltd,0.066877,1,529.4
9602 JT Equity,Toho Co Ltd/Tokyo,0.066321,0.1,5250
9021 JT Equity,West Japan Railway Co,0.065538,0.1,5188
9531 JT Equity,Tokyo Gas Co Ltd,0.064704,0.2,2561
8604 JT Equity,Nomura Holdings Inc,0.06305,1,499.1
5020 JT Equity,ENEOS Holdings Inc,0.062885,1,497.8
6701 JT Equity,NEC Corp,0.062469,0.1,4945
4902 JT Equity,Konica Minolta Inc,0.061647,1,488
8354 JT Equity,Fukuoka Financial Group Inc,0.060965,0.2,2413
6674 JT Equity,GS Yuasa Corp,0.060586,0.2,2398
7011 JT Equity,Mitsubishi Heavy Industries Ltd,0.05979,0.1,4733
9532 JT Equity,Osaka Gas Co Ltd,0.058893,0.2,2331
7186 JT Equity,Concordia Financial Group Ltd,0.055331,1,438
8309 JT Equity,Sumitomo Mitsui Trust Holdings Inc,0.053752,0.1,4255
8316 JT Equity,Sumitomo Mitsui Financial Group Inc,0.051604,0.1,4085
4188 JT Equity,Mitsubishi Chemical Group Corp,0.046842,0.5,741.6
4043 JT Equity,Tokuyama Corp,0.046236,0.2,1830
5232 JT Equity,Sumitomo Osaka Cement Co Ltd,0.044783,0.1,3545
7013 JT Equity,IHI Corp,0.042698,0.1,3380
1808 JT Equity,Haseko Corp,0.039616,0.2,1568
5706 JT Equity,Mitsui Mining & Smelting Co Ltd,0.039288,0.1,3110
3401 JT Equity,Teijin Ltd,0.036837,0.2,1458
