Ticker,Name,Weight,Shares,Price
WK UN Equity,Workiva Inc,0.139539,47.29,75.75
SXT UN Equity,Sensient Technologies Corp,0.139367,41.612,85.98
FN UN Equity,Fabrinet,0.139176,36.63,97.54
ALE UN Equity,ALLETE Inc,0.138534,56.857,62.55
APLE UN Equity,Apple Hospitality REIT Inc,0.137911,213.407,16.59
GATX UN Equity,GATX Corp,0.137729,35.22,100.39
ARRY UQ Equity,Array Technologies Inc,0.137361,149.546,23.58
SKY UN Equity,Skyline Champion Corp,0.137321,52.908,66.63
DIOD UW Equity,Diodes Inc,0.137155,44.156,79.74
AEIS UW Equity,Advanced Energy Industries Inc,0.136603,37.271,94.09
RCM UW Equity,R1 RCM Inc,0.136023,134.048,26.05
FOLD UQ Equity,Amicus Therapeutics Inc,0.135628,273.512,12.73
FUL UN Equity,HB Fuller Co,0.1349,52.647,65.78
VC UW Equity,Visteon Corp,0.134854,27.594,125.46
VIAV UW Equity,Viavi Solutions Inc,0.134455,225.748,15.29
MMSI UW Equity,Merit Medical Systems Inc,0.134237,55.439,62.16
CRC UN Equity,California Resources Corp,0.134225,77.608,44.4
KFY UN Equity,Korn Ferry,0.13392,53.137,64.7
TPTX UW Equity,Turning Point Therapeutics Inc,0.132698,45.397,75.04
ADNT UN Equity,Adient PLC,0.131169,94.165,35.76
MATX UN Equity,Matson Inc,0.131165,39.769,84.67
LIVN UW Equity,LivaNova PLC,0.131026,53.248,63.17
VRNS UW Equity,Varonis Systems Inc,0.130954,108.062,31.11
WD UN Equity,Walker & Dunlop Inc,0.130785,30.445,110.28
INSM UW Equity,Insmed Inc,0.129968,118.274,28.21
HI UN Equity,Hillenbrand Inc,0.129845,72.041,46.27
PGNY UW Equity,Progyny Inc,0.129693,74.202,44.87
TNET UN Equity,TriNet Group Inc,0.129171,37.142,89.28
AXNX UW Equity,Axonics Inc,0.128817,46.577,71
SMTC UW Equity,Semtech Corp,0.128804,62.78,52.67
CALX UN Equity,Calix Inc,0.128376,56.307,58.53
COOP UR Equity,Mr Cooper Group Inc,0.128171,72.015,45.69
EBC UW Equity,Eastern Bankshares Inc,0.128145,159.54,20.62
STNE UW Equity,StoneCo Ltd,0.12786,274.907,11.94
SFM UW Equity,Sprouts Farmers Market Inc,0.127709,108.848,30.12
CWT UN Equity,California Water Service Group,0.127669,53.249,61.55
REZI UN Equity,Resideo Technologies Inc,0.127456,143.447,22.81
OTTR UW Equity,Otter Tail Corp,0.127122,40.798,79.99
AEL UN Equity,American Equity Investment Life Holding,0.126779,77.289,42.11
PCH UW Equity,PotlatchDeltic Corp,0.126744,67.758,48.02
SI UN Equity,Silvergate Capital Corp,0.126568,31.09,104.51
TMHC UN Equity,Taylor Morrison Home Corp,0.126557,114.601,28.35
AJRD UN Equity,Aerojet Rocketdyne Holdings Inc,0.126379,78.728,41.21
AWR UN Equity,American States Water Co,0.126257,36.616,88.52
ELY UN Equity,Callaway Golf Co,0.125842,138.771,23.28
BKU UN Equity,BankUnited Inc,0.125681,81.046,39.81
AMBA UW Equity,Ambarella Inc,0.125489,36.132,89.16
LCII UN Equity,LCI Industries,0.125487,24.644,130.72
ENV UN Equity,Envestnet Inc,0.125486,54.527,59.08
EPRT UN Equity,Essential Properties Realty Trust Inc,0.125245,129.491,24.83
PPBI UW Equity,Pacific Premier Bancorp Inc,0.124224,93.002,34.29
CCXI UW Equity,ChemoCentryx Inc,0.124202,62.679,50.87
BECN UW Equity,Beacon Roofing Supply Inc,0.124081,53.889,59.11
DBRG UN Equity,DigitalBridge Group Inc,0.124052,586.488,5.43
HRI UN Equity,Herc Holdings Inc,0.123587,25.457,124.63
ABCB UW Equity,Ameris Bancorp,0.122898,65.647,48.06
WSFS UW Equity,WSFS Financial Corp,0.122497,63.891,49.22
MTH UN Equity,Meritage Homes Corp,0.122346,36.027,87.18
MSTR UW Equity,MicroStrategy Inc,0.122067,9.332,335.8
PTEN UW Equity,Patterson-UTI Energy Inc,0.121927,212.786,14.71
HELE UW Equity,Helen of Troy Ltd,0.121276,23.579,132.04
PBF UN Equity,PBF Energy Inc,0.121264,96.023,32.42
TCBI UW Equity,Texas Capital Bancshares Inc,0.121148,50.439,61.66
AVA UN Equity,Avista Corp,0.120955,71.861,43.21
CNX UN Equity,CNX Resources Corp,0.120727,191.195,16.21
CWEN UN Equity,Clearway Energy Inc,0.120561,81.362,38.04
OFC UN Equity,Corporate Office Properties Trust,0.12054,111.754,27.69
DY UN Equity,Dycom Industries Inc,0.12046,28.644,107.96
